database,table,name,type,position,default_kind,default_expression,data_compressed_bytes,data_uncompressed_bytes,marks_bytes,comment,is_in_partition_key,is_in_sorting_key,is_in_primary_key,is_in_sampling_key,compression_codec,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision
opensource,events,platform,"Enum8('GitHub' = 1, 'Gitee' = 2, 'AtomGit' = 3, 'GitLab.com' = 4, 'Gitea' = 5, 'GitLab.cn' = 6)",1,,,36114570,8053553795,26729064,,0,1,1,0,,,,,,
opensource,events,id,UInt64,2,,,42935656294,64428430360,26729064,,0,1,1,0,,,64.0,2.0,0.0,
opensource,events,type,"Enum8('CommitCommentEvent' = 1, 'CreateEvent' = 2, 'DeleteEvent' = 3, 'ForkEvent' = 4, 'GollumEvent' = 5, 'IssueCommentEvent' = 6, 'IssuesEvent' = 7, 'MemberEvent' = 8, 'PublicEvent' = 9, 'PullRequestEvent' = 10, 'PullRequestReviewCommentEvent' = 11, 'PushEvent' = 12, 'ReleaseEvent' = 13, 'WatchEvent' = 14, 'PullRequestReviewEvent' = 15, 'IssuesReactionEvent' = 16, 'IssueCommentsReactionEvent' = 17, 'LabelEvent' = 18, 'ReactionPlaceholderEvent' = 126, 'LabelPlaceholderEvent' = 127)",3,,,35745637,8053553795,26729064,,0,1,1,0,,,,,,
opensource,events,action,"Enum8('added' = 1, 'closed' = 2, 'created' = 3, 'labeled' = 4, 'opened' = 5, 'published' = 6, 'reopened' = 7, 'started' = 8)",4,,,360311269,8053553795,26729064,,0,0,0,0,,,,,,
opensource,events,actor_id,UInt64,5,,,12646167548,64428430360,26729064,,0,1,1,0,,,64.0,2.0,0.0,
opensource,events,actor_login,LowCardinality(String),6,,,22814675840,33222704942,53458128,,0,0,0,0,,,,,,
opensource,events,repo_id,UInt64,7,,,8413927508,64428430360,26729064,,0,1,1,0,,,64.0,2.0,0.0,
opensource,events,repo_name,LowCardinality(String),8,,,36315559669,53400885299,53458128,,0,0,0,0,,,,,,
opensource,events,org_id,UInt64,9,,,2337168601,64428430360,26729064,,0,1,1,0,,,64.0,2.0,0.0,
opensource,events,org_login,LowCardinality(String),10,,,2873118671,17490827269,53458128,,0,0,0,0,,,,,,
opensource,events,created_at,DateTime,11,,,30760018938,32214215180,26729064,,1,1,1,0,,,,,,0.0
opensource,events,issue_id,UInt64,12,,,6140334010,64428430360,26729064,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,issue_number,UInt32,13,,,3046358411,32214215180,26729064,,0,0,0,0,,,32.0,2.0,0.0,
opensource,events,issue_title,String,14,,,20644861593,69958464081,26729064,,0,0,0,0,,,,,,
opensource,events,body,String,15,,,414506327311,2191456900877,26729064,,0,0,0,0,,,,,,
opensource,events,issue_labels.name,Array(String),16,,,2808535705,76314366744,53458128,,0,0,0,0,,,,,,
opensource,events,issue_labels.color,Array(String),17,,,1149127121,6435515478,26729064,,0,0,0,0,,,,,,
